dt,currency,rate_to_rub,nominal
2016-02-16,EUR,87.1905,1
2016-02-16,GBP,112.7876,1
2016-02-16,RUB,1,1
2016-02-16,USD,77.7792,1
2016-07-03,EUR,71.0519,1
2016-07-03,GBP,85.1804,1
2016-07-03,RUB,1,1
2016-07-03,USD,64.0165,1
2016-01-01,EUR,79.6395,1
2016-01-01,GBP,108.2426,1
2016-01-01,RUB,1,1
2016-01-01,USD,72.9299,1
2016-10-03,EUR,70.9338,1
2016-10-03,GBP,82.1359,1
2016-10-03,RUB,1,1
2016-10-03,USD,63.396,1
2016-08-18,EUR,72.0832,1
2016-08-18,GBP,83.423,1
2016-08-18,RUB,1,1
2016-08-18,USD,63.9943,1
2016-02-17,EUR,85.0894,1
2016-02-17,GBP,110.3036,1
2016-02-17,RUB,1,1
2016-02-17,USD,76.245,1
2016-01-02,EUR,79.6395,1
2016-01-02,GBP,108.2426,1
2016-01-02,RUB,1,1
2016-01-02,USD,72.9299,1
2016-07-04,EUR,71.0519,1
2016-07-04,GBP,85.1804,1
2016-07-04,RUB,1,1
2016-07-04,USD,64.0165,1
2016-04-02,EUR,76.4266,1
2016-04-02,GBP,96.4145,1
2016-04-02,RUB,1,1
2016-04-02,USD,67.141,1
2016-11-18,EUR,69.4984,1
2016-11-18,GBP,80.8197,1
2016-11-18,RUB,1,1
2016-11-18,USD,64.9154,1
2016-10-04,EUR,70.2411,1
2016-10-04,GBP,80.4113,1
2016-10-04,RUB,1,1
2016-10-04,USD,62.5477,1
2016-02-18,EUR,86.9588,1
2016-02-18,GBP,111.0768,1
2016-02-18,RUB,1,1
2016-02-18,USD,77.8503,1
2016-01-03,EUR,79.6395,1
2016-01-03,GBP,108.2426,1
2016-01-03,RUB,1,1
2016-01-03,USD,72.9299,1
2016-08-19,EUR,71.9371,1
2016-08-19,GBP,83.1471,1
2016-08-19,RUB,1,1
2016-08-19,USD,63.5487,1
2016-11-19,EUR,68.9889,1
2016-11-19,GBP,80.792,1
2016-11-19,RUB,1,1
2016-11-19,USD,65.1023,1
2016-04-03,EUR,76.4266,1
2016-04-03,GBP,96.4145,1
2016-04-03,RUB,1,1
2016-04-03,USD,67.141,1
2016-07-05,EUR,70.8553,1
2016-07-05,GBP,84.6302,1
2016-07-05,RUB,1,1
2016-07-05,USD,63.6844,1
2016-02-19,EUR,84.0521,1
2016-02-19,GBP,107.791,1
2016-02-19,RUB,1,1
2016-02-19,USD,75.4575,1
2016-05-18,EUR,73.1006,1
2016-05-18,GBP,93.4999,1
2016-05-18,RUB,1,1
2016-05-18,USD,64.5138,1
2016-10-05,EUR,69.7556,1
2016-10-05,GBP,79.7573,1
2016-10-05,RUB,1,1
2016-10-05,USD,62.4323,1
2016-11-20,EUR,68.9889,1
2016-11-20,GBP,80.792,1
2016-11-20,RUB,1,1
2016-11-20,USD,65.1023,1
2016-04-04,EUR,76.4266,1
2016-04-04,GBP,96.4145,1
2016-04-04,RUB,1,1
2016-04-04,USD,67.141,1
2016-08-20,EUR,72.4558,1
2016-08-20,GBP,83.8625,1
2016-08-20,RUB,1,1
2016-08-20,USD,63.9391,1
2016-01-04,EUR,79.6395,1
2016-01-04,GBP,108.2426,1
2016-01-04,RUB,1,1
2016-01-04,USD,72.9299,1
2016-07-06,EUR,71.6327,1
2016-07-06,GBP,84.634,1
2016-07-06,RUB,1,1
2016-07-06,USD,64.2676,1
2016-02-20,EUR,84.9187,1
2016-02-20,GBP,109.3633,1
2016-02-20,RUB,1,1
2016-02-20,USD,76.3657,1
2016-10-06,EUR,70.0782,1
2016-10-06,GBP,79.5094,1
2016-10-06,RUB,1,1
2016-10-06,USD,62.4583,1
2016-05-19,EUR,73.3077,1
2016-05-19,GBP,93.9005,1
2016-05-19,RUB,1,1
2016-05-19,USD,65.0641,1
2016-04-05,EUR,78.1662,1
2016-04-05,GBP,97.6288,1
2016-04-05,RUB,1,1
2016-04-05,USD,68.6753,1
2016-11-21,EUR,68.9889,1
2016-11-21,GBP,80.792,1
2016-11-21,RUB,1,1
2016-11-21,USD,65.1023,1
2016-08-21,EUR,72.4558,1
2016-08-21,GBP,83.8625,1
2016-08-21,RUB,1,1
2016-08-21,USD,63.9391,1
2016-01-05,EUR,79.6395,1
2016-01-05,GBP,108.2426,1
2016-01-05,RUB,1,1
2016-01-05,USD,72.9299,1
2016-07-07,EUR,71.5135,1
2016-07-07,GBP,83.677,1
2016-07-07,RUB,1,1
2016-07-07,USD,64.6304,1
2016-02-21,EUR,85.8563,1
2016-02-21,GBP,111.1249,1
2016-02-21,RUB,1,1
2016-02-21,USD,77.1326,1
2016-05-20,EUR,74.2755,1
2016-05-20,GBP,96.8535,1
2016-05-20,RUB,1,1
2016-05-20,USD,66.211,1
2016-10-07,EUR,69.8518,1
2016-10-07,GBP,79.385,1
2016-10-07,RUB,1,1
2016-10-07,USD,62.39,1
2016-04-06,EUR,78.2798,1
2016-04-06,GBP,97.9617,1
2016-04-06,RUB,1,1
2016-04-06,USD,68.8901,1
2016-08-22,EUR,72.4558,1
2016-08-22,GBP,83.8625,1
2016-08-22,RUB,1,1
2016-08-22,USD,63.9391,1
2016-11-22,EUR,68.3611,1
2016-11-22,GBP,79.4435,1
2016-11-22,RUB,1,1
2016-11-22,USD,64.358,1
2016-01-06,EUR,79.6395,1
2016-01-06,GBP,108.2426,1
2016-01-06,RUB,1,1
2016-01-06,USD,72.9299,1
2016-07-08,EUR,70.9482,1
2016-07-08,GBP,83.1433,1
2016-07-08,RUB,1,1
2016-07-08,USD,64.05,1
2016-05-21,EUR,74.4623,1
2016-05-21,GBP,96.6523,1
2016-05-21,RUB,1,1
2016-05-21,USD,66.3775,1
2016-02-22,EUR,85.8563,1
2016-02-22,GBP,111.1249,1
2016-02-22,RUB,1,1
2016-02-22,USD,77.1326,1
2016-10-08,EUR,69.2312,1
2016-10-08,GBP,77.5611,1
2016-10-08,RUB,1,1
2016-10-08,USD,62.3031,1
2016-08-23,EUR,72.4457,1
2016-08-23,GBP,84.0223,1
2016-08-23,RUB,1,1
2016-08-23,USD,64.2078,1
2016-11-23,EUR,67.5413,1
2016-11-23,GBP,79.4398,1
2016-11-23,RUB,1,1
2016-11-23,USD,63.6282,1
2016-04-07,EUR,77.813,1
2016-04-07,GBP,96.6701,1
2016-04-07,RUB,1,1
2016-04-07,USD,68.5215,1
2016-07-09,EUR,71.1684,1
2016-07-09,GBP,83.1508,1
2016-07-09,RUB,1,1
2016-07-09,USD,64.2488,1
2016-05-22,EUR,74.4623,1
2016-05-22,GBP,96.6523,1
2016-05-22,RUB,1,1
2016-05-22,USD,66.3775,1
2016-08-24,EUR,73.4733,1
2016-08-24,GBP,85.4878,1
2016-08-24,RUB,1,1
2016-08-24,USD,64.7684,1
2016-01-07,EUR,79.6395,1
2016-01-07,GBP,108.2426,1
2016-01-07,RUB,1,1
2016-01-07,USD,72.9299,1
2016-02-23,EUR,85.8563,1
2016-02-23,GBP,111.1249,1
2016-02-23,RUB,1,1
2016-02-23,USD,77.1326,1
2016-11-24,EUR,68.054,1
2016-11-24,GBP,79.4156,1
2016-11-24,RUB,1,1
2016-11-24,USD,64.0087,1
2016-04-08,EUR,77.3688,1
2016-04-08,GBP,95.4229,1
2016-04-08,RUB,1,1
2016-04-08,USD,67.796,1
2016-07-10,EUR,71.1684,1
2016-07-10,GBP,83.1508,1
2016-07-10,RUB,1,1
2016-07-10,USD,64.2488,1
2016-10-09,EUR,69.2312,1
2016-10-09,GBP,77.5611,1
2016-10-09,RUB,1,1
2016-10-09,USD,62.3031,1
2016-11-25,EUR,68.0855,1
2016-11-25,GBP,80.2937,1
2016-11-25,RUB,1,1
2016-11-25,USD,64.6279,1
2016-02-24,EUR,85.8563,1
2016-02-24,GBP,111.1249,1
2016-02-24,RUB,1,1
2016-02-24,USD,77.1326,1
2016-05-23,EUR,74.4623,1
2016-05-23,GBP,96.6523,1
2016-05-23,RUB,1,1
2016-05-23,USD,66.3775,1
2016-04-09,EUR,76.6888,1
2016-04-09,GBP,95.3028,1
2016-04-09,RUB,1,1
2016-04-09,USD,67.4662,1
2016-07-11,EUR,71.1684,1
2016-07-11,GBP,83.1508,1
2016-07-11,RUB,1,1
2016-07-11,USD,64.2488,1
2016-01-08,EUR,79.6395,1
2016-01-08,GBP,108.2426,1
2016-01-08,RUB,1,1
2016-01-08,USD,72.9299,1
2016-10-10,EUR,69.2312,1
2016-10-10,GBP,77.5611,1
2016-10-10,RUB,1,1
2016-10-10,USD,62.3031,1
2016-11-26,EUR,68.4363,1
2016-11-26,GBP,80.3647,1
2016-11-26,RUB,1,1
2016-11-26,USD,64.6174,1
2016-08-25,EUR,73.2074,1
2016-08-25,GBP,85.6582,1
2016-08-25,RUB,1,1
2016-08-25,USD,64.814,1
2016-02-25,EUR,84.0779,1
2016-02-25,GBP,106.843,1
2016-02-25,RUB,1,1
2016-02-25,USD,76.3928,1
2016-05-24,EUR,75.2675,1
2016-05-24,GBP,97.4602,1
2016-05-24,RUB,1,1
2016-05-24,USD,67.0475,1
2016-04-10,EUR,76.6888,1
2016-04-10,GBP,95.3028,1
2016-04-10,RUB,1,1
2016-04-10,USD,67.4662,1
2016-07-12,EUR,70.8152,1
2016-07-12,GBP,82.7441,1
2016-07-12,RUB,1,1
2016-07-12,USD,64.2024,1
2016-01-09,EUR,79.6395,1
2016-01-09,GBP,108.2426,1
2016-01-09,RUB,1,1
2016-01-09,USD,72.9299,1
2016-10-11,EUR,69.7253,1
