dt,currency,rate_to_rub,nominal
2016-01-01,EUR,79.6395,1
2016-01-01,GBP,108.2426,1
2016-01-01,RUB,1,1
2016-01-01,USD,72.9299,1
2016-01-02,EUR,79.6395,1
2016-01-02,GBP,108.2426,1
2016-01-02,RUB,1,1
2016-01-02,USD,72.9299,1
2016-01-03,EUR,79.6395,1
2016-01-03,GBP,108.2426,1
2016-01-03,RUB,1,1
2016-01-03,USD,72.9299,1
2016-01-04,EUR,79.6395,1
2016-01-04,GBP,108.2426,1
2016-01-04,RUB,1,1
2016-01-04,USD,72.9299,1
2016-01-05,EUR,79.6395,1
2016-01-05,GBP,108.2426,1
2016-01-05,RUB,1,1
2016-01-05,USD,72.9299,1
2016-01-06,EUR,79.6395,1
2016-01-06,GBP,108.2426,1
2016-01-06,RUB,1,1
2016-01-06,USD,72.9299,1
2016-01-07,EUR,79.6395,1
2016-01-07,GBP,108.2426,1
2016-01-07,RUB,1,1
2016-01-07,USD,72.9299,1
2016-01-08,EUR,79.6395,1
2016-01-08,GBP,108.2426,1
2016-01-08,RUB,1,1
2016-01-08,USD,72.9299,1
2016-01-09,EUR,79.6395,1
2016-01-09,GBP,108.2426,1
2016-01-09,RUB,1,1
2016-01-09,USD,72.9299,1
2016-01-10,EUR,79.6395,1
2016-01-10,GBP,108.2426,1
2016-01-10,RUB,1,1
2016-01-10,USD,72.9299,1
2016-01-11,EUR,79.6395,1
2016-01-11,GBP,108.2426,1
2016-01-11,RUB,1,1
2016-01-11,USD,72.9299,1
2016-01-12,EUR,82.809,1
2016-01-12,GBP,110.5614,1
2016-01-12,RUB,1,1
2016-01-12,USD,75.9507,1
2016-01-13,EUR,83.4372,1
2016-01-13,GBP,111.2828,1
2016-01-13,RUB,1,1
2016-01-13,USD,76.6041,1
2016-01-14,EUR,82.7175,1
2016-01-14,GBP,110.3231,1
2016-01-14,RUB,1,1
2016-01-14,USD,76.4275,1
2016-01-15,EUR,83.1499,1
2016-01-15,GBP,110.262,1
2016-01-15,RUB,1,1
2016-01-15,USD,76.523,1
2016-01-16,EUR,83.2951,1
2016-01-16,GBP,110.1081,1
2016-01-16,RUB,1,1
2016-01-16,USD,76.565,1
2016-01-17,EUR,83.2951,1
2016-01-17,GBP,110.1081,1
2016-01-17,RUB,1,1
2016-01-17,USD,76.565,1
2016-01-18,EUR,83.2951,1
2016-01-18,GBP,110.1081,1
2016-01-18,RUB,1,1
2016-01-18,USD,76.565,1
2016-01-19,EUR,85.622,1
2016-01-19,GBP,112.6444,1
2016-01-19,RUB,1,1
2016-01-19,USD,78.6678,1
2016-01-20,EUR,85.2988,1
2016-01-20,GBP,112.2196,1
2016-01-20,RUB,1,1
2016-01-20,USD,78.4862,1
2016-01-21,EUR,87.0341,1
2016-01-21,GBP,112.5015,1
2016-01-21,RUB,1,1
2016-01-21,USD,79.4614,1
2016-01-22,EUR,91.1814,1
2016-01-22,GBP,118.3987,1
2016-01-22,RUB,1,1
2016-01-22,USD,83.5913,1
2016-01-23,EUR,87.2266,1
2016-01-23,GBP,114.9029,1
2016-01-23,RUB,1,1
2016-01-23,USD,80.5714,1
2016-01-24,EUR,87.2266,1
2016-01-24,GBP,114.9029,1
2016-01-24,RUB,1,1
2016-01-24,USD,80.5714,1
